NSQ;ULT
0;1,9
20;2,176
82;2,75
147;3,325
210;3,83
250;4,195
272;4,325
334;4,78
399;5,215
461;5,53
524;5,86
585;6,14
649;6,385
710;6,57
834;6,89
964;7,15
1217;7,49
1467;7,83
1718;8,03
1967;8,21
2470;8,47
2975;8,63
