NSQ;ULT
0;1,9
18;2,222
80;2,85
145;3,445
208;3,99
248;4,32
270;4,505
332;4,98
397;5,43
459;5,775
522;6,12
583;6,375
708;6,83
832;7,15
962;7,4
1215;7,7
1465;8,01
1965;8,39
2468;8,61
2973;8,69
3473;8,781
