NSQ;ULT
0;1,9
15;2,296
77;2,89
142;3,555
205;4,13
245;4,47
267;4,655
329;5,12
394;5,575
456;5,905
519;6,205
580;6,5
705;6,885
829;7,18
895;7,27
959;7,37
1212;7,64
1462;7,9
1962;8,23
2465;8,46
2970;8,5
3470;8,821
