NSQ;ULT
0;1,9
14;2,33
76;2,95
141;3,645
204;4,22
244;4,57
266;4,745
328;5,205
393;5,62
455;5,96
518;6,255
579;6,535
704;6,92
828;7,2
894;7,32
958;7,4
1211;7,68
1461;7,96
1961;8,32
2464;8,53
2969;8,58
