NSQ;ULT
0;1,9
22;2,168
84;2,735
149;3,32
169;3,475
189;3,68
212;3,865
252;4,22
274;4,39
336;4,895
401;5,385
463;5,765
526;6,11
587;6,42
651;6,65
712;6,88
836;7,2
966;7,45
1219;7,78
1469;8,08
1720;8,32
1969;8,47
2472;8,72
2977;8,97
