NSQ;ULT
0;2,65
10;2,652
72;3,27
137;4,015
200;4,595
240;4,92
262;5,09
324;5,515
389;5,895
451;6,185
514;6,46
575;6,69
639;6,865
700;7,005
824;7,26
954;7,41
1207;7,66
1457;7,87
1708;8,06
1957;8,17
2460;8,31
