NSQ;ULT
0;1,9
23;2,15
85;2,715
150;3,32
170;3,465
190;3,67
213;3,875
253;4,21
275;4,42
337;4,93
402;5,42
464;5,8
527;6,12
588;6,455
652;6,705
713;6,875
837;7,24
967;7,47
1220;7,81
1470;8,07
1721;8,29
1970;8,43
2473;8,69
2978;8,7
