NSQ;ULT
0;1,9
13;2,39
33;2,494
54;2,78
75;2,99
97;3,225
119;3,5
140;3,7
160;3,9
180;4,09
203;4,29
224;4,47
243;4,65
265;4,83
327;5,295
392;5,725
454;6,05
517;6,335
578;6,6
642;6,8
703;6,95
764;7,09
827;7,21
893;7,32
957;7,43
1018;7,49
1079;7,54
1145;7,623
1210;7,69
1332;7,77
1460;7,96
1711;8,15
1960;8,3
2210;8,409
2463;8,51
2968;8,702
3468;8,841
3718;8,841
