NSQ;ULT
0;1,9
17;2,24
79;2,875
144;3,48
207;4
247;4,345
269;4,51
331;4,985
396;5,43
458;5,775
521;6,095
582;6,37
707;6,8
831;7,11
961;7,35
1214;7,68
1464;7,99
1964;8,37
2467;8,59
2972;8,59
3472;8,971
