NSQ;ULT
0;1,9
21;2,17
83;2,725
148;3,285
168;3,48
211;3,795
273;4,3
335;4,785
400;5,255
462;5,62
525;5,945
586;6,265
650;6,505
711;6,735
835;7,06
965;7,32
1218;7,64
1468;7,96
1719;8,18
1968;8,35
2471;8,62
2976;9,1
3476;9,091
