NSQ;ULT
0;1,9
16;2,276
78;2,88
143;3,495
206;4,05
246;4,39
268;4,58
330;5,035
395;5,49
457;5,835
520;6,15
581;6,44
706;6,85
830;7,18
896;7,42
960;7,39
1213;7,7
1463;7,98
1963;8,36
2466;8,57
2971;8,78
3471;8,951
