NSQ;ULT
0;1,9
19;2,172
81;2,74
146;3,315
209;3,82
249;4,11
271;4,285
333;4,73
398;5,135
460;5,435
523;5,765
584;6,025
709;6,45
833;6,78
963;7
1216;7,33
1466;7,64
1966;8
2469;8,27
2974;8,412
3474;8,551
